algorithm,data_size,case_type,time_micros,found_position
sequential,1000,best,0,0
binary,1000,best,0,0
sequential,1000,average,1,500
binary,1000,average,0,500
sequential,1000,worst,2,999
binary,1000,worst,0,999
sequential,1000,not_found,2,-1
binary,1000,not_found,0,-1
sequential,5000,best,18,0
binary,5000,best,0,0
sequential,5000,average,5,2500
binary,5000,average,0,2500
sequential,5000,worst,11,4999
binary,5000,worst,0,4999
sequential,5000,not_found,10,-1
binary,5000,not_found,0,-1
sequential,10000,best,4,0
binary,10000,best,0,0
sequential,10000,average,15,5000
binary,10000,average,0,5000
sequential,10000,worst,21,9999
binary,10000,worst,0,9999
sequential,10000,not_found,22,-1
binary,10000,not_found,0,-1
sequential,50000,best,20,0
binary,50000,best,0,0
sequential,50000,average,57,25000
binary,50000,average,0,25000
sequential,50000,worst,110,49999
binary,50000,worst,0,49999
sequential,50000,not_found,113,-1
binary,50000,not_found,0,-1
